Episode no = 10200; won: True; iter_time_steps = 19; Q(s,a) = 220.18575271968695; score = 502.0; mean_score/100_episodes = 98.97; reward = 93.0; mean_reward/100_episodes = -144.58; and epsilon = 0.1, win percentage = 0.6, 2024-11-25 06:19:39
Episode no = 10300; won: True; iter_time_steps = 17; Q(s,a) = 210.32584079236705; score = 504.0; mean_score/100_episodes = 37.77; reward = 95.0; mean_reward/100_episodes = -181.42; and epsilon = 0.1, win percentage = 0.54, 2024-11-25 06:20:12
Episode no = 10400; won: False; iter_time_steps = 11; Q(s,a) = 86.19491478239749; score = -510.0; mean_score/100_episodes = 18.23; reward = -510.0; mean_reward/100_episodes = -192.74; and epsilon = 0.1, win percentage = 0.52, 2024-11-25 06:20:45
Episode no = 10500; won: True; iter_time_steps = 19; Q(s,a) = 265.8536997313501; score = 502.0; mean_score/100_episodes = 129.2; reward = 93.0; mean_reward/100_episodes = -128.17; and epsilon = 0.1, win percentage = 0.63, 2024-11-25 06:21:18
Episode no = 10600; won: False; iter_time_steps = 18; Q(s,a) = 91.8748501505896; score = -507.0; mean_score/100_episodes = 68.79; reward = -506.0; mean_reward/100_episodes = -162.88; and epsilon = 0.1, win percentage = 0.57, 2024-11-25 06:21:51
Episode no = 10700; won: False; iter_time_steps = 14; Q(s,a) = 161.19766959831588; score = -503.0; mean_score/100_episodes = 119.06; reward = -502.0; mean_reward/100_episodes = -133.43; and epsilon = 0.1, win percentage = 0.62, 2024-11-25 06:22:25
Episode no = 10800; won: False; iter_time_steps = 22; Q(s,a) = 243.2656463290851; score = -511.0; mean_score/100_episodes = 38.03; reward = -510.0; mean_reward/100_episodes = -181.68; and epsilon = 0.1, win percentage = 0.54, 2024-11-25 06:22:59
Episode no = 10900; won: False; iter_time_steps = 23; Q(s,a) = 109.17975437259865; score = -512.0; mean_score/100_episodes = 178.97; reward = -511.0; mean_reward/100_episodes = -97.97; and epsilon = 0.1, win percentage = 0.68, 2024-11-25 06:23:34
Episode no = 11000; won: False; iter_time_steps = 12; Q(s,a) = 119.67505174348068; score = -501.0; mean_score/100_episodes = 189.28; reward = -489.0; mean_reward/100_episodes = -91.78; and epsilon = 0.1, win percentage = 0.69, 2024-11-25 06:24:09
Episode no = 11100; won: True; iter_time_steps = 19; Q(s,a) = 241.0763137659182; score = 502.0; mean_score/100_episodes = 189.33; reward = 93.0; mean_reward/100_episodes = -91.74; and epsilon = 0.1, win percentage = 0.69, 2024-11-25 06:24:43
