Episode no = 9600; won: False; iter_time_steps = 51; Q(s,a) = 9.864129278313854; score = -540.0; mean_score/100_episodes = -478.07; reward = -539.0; mean_reward/100_episodes = -493.71; and epsilon = 0.1, win percentage = 0.04, 2024-11-20 08:24:12
Episode no = 9700; won: False; iter_time_steps = 11; Q(s,a) = -16.284942943485824; score = -510.0; mean_score/100_episodes = -476.85; reward = -510.0; mean_reward/100_episodes = -492.72; and epsilon = 0.1, win percentage = 0.04, 2024-11-20 08:24:47
Episode no = 9800; won: False; iter_time_steps = 15; Q(s,a) = -14.787714545174339; score = -514.0; mean_score/100_episodes = -444.53; reward = -514.0; mean_reward/100_episodes = -472.16; and epsilon = 0.1, win percentage = 0.07, 2024-11-20 08:25:31
Episode no = 9900; won: False; iter_time_steps = 15; Q(s,a) = -8.300100580048952; score = -514.0; mean_score/100_episodes = -507.14; reward = -514.0; mean_reward/100_episodes = -510.31; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:26:18
Episode no = 10000; won: False; iter_time_steps = 23; Q(s,a) = 12.351433562652103; score = -512.0; mean_score/100_episodes = -495.61; reward = -511.0; mean_reward/100_episodes = -502.91; and epsilon = 0.1, win percentage = 0.02, 2024-11-20 08:27:01
Episode no = 10100; won: False; iter_time_steps = 23; Q(s,a) = 29.085070317781888; score = -512.0; mean_score/100_episodes = -513.77; reward = -511.0; mean_reward/100_episodes = -512.2; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:27:40
Episode no = 10200; won: False; iter_time_steps = 19; Q(s,a) = 4.419214919593415; score = -508.0; mean_score/100_episodes = -514.21; reward = -507.0; mean_reward/100_episodes = -513.23; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:28:22
Episode no = 10300; won: False; iter_time_steps = 27; Q(s,a) = -2.8936845002029763; score = -516.0; mean_score/100_episodes = -506.8; reward = -515.0; mean_reward/100_episodes = -510.26; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:29:08
Episode no = 10400; won: False; iter_time_steps = 15; Q(s,a) = 6.121277187648631; score = -514.0; mean_score/100_episodes = -507.42; reward = -514.0; mean_reward/100_episodes = -510.15; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:29:58
Episode no = 10500; won: False; iter_time_steps = 11; Q(s,a) = -13.286512250243902; score = -510.0; mean_score/100_episodes = -514.97; reward = -510.0; mean_reward/100_episodes = -513.97; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:30:40
Episode no = 10600; won: False; iter_time_steps = 8; Q(s,a) = -4.982543840733297; score = -507.0; mean_score/100_episodes = -504.74; reward = -507.0; mean_reward/100_episodes = -507.97; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:31:20
Episode no = 10700; won: False; iter_time_steps = 11; Q(s,a) = 6.340163819738327; score = -510.0; mean_score/100_episodes = -504.0; reward = -510.0; mean_reward/100_episodes = -507.12; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:32:00
Episode no = 10800; won: False; iter_time_steps = 23; Q(s,a) = 1.1322637809393563; score = -512.0; mean_score/100_episodes = -514.33; reward = -511.0; mean_reward/100_episodes = -512.8; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:32:39
Episode no = 10900; won: False; iter_time_steps = 43; Q(s,a) = -4.212516477751976; score = -532.0; mean_score/100_episodes = -514.5; reward = -531.0; mean_reward/100_episodes = -513.9; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:33:19
Episode no = 11000; won: False; iter_time_steps = 20; Q(s,a) = 19.070202196821953; score = -519.0; mean_score/100_episodes = -514.9; reward = -519.0; mean_reward/100_episodes = -513.98; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:33:59
