Episode no = 6400; won: False; iter_time_steps = 21; Q(s,a) = 69.13855690697466; score = -510.0; mean_score/100_episodes = -503.07; reward = -509.0; mean_reward/100_episodes = -505.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.01, 2024-12-02 01:54:00
Episode no = 6500; won: False; iter_time_steps = 21; Q(s,a) = 61.21870463037588; score = -510.0; mean_score/100_episodes = -502.24; reward = -509.0; mean_reward/100_episodes = -504.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.01, 2024-12-02 01:54:11
Episode no = 6600; won: False; iter_time_steps = 21; Q(s,a) = 63.33683624389647; score = -510.0; mean_score/100_episodes = -511.96; reward = -509.0; mean_reward/100_episodes = -510.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-02 01:54:23
Episode no = 6700; won: False; iter_time_steps = 21; Q(s,a) = 64.85355661017844; score = -510.0; mean_score/100_episodes = -491.79; reward = -509.0; mean_reward/100_episodes = -498.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.02, 2024-12-02 01:54:34
Episode no = 6800; won: False; iter_time_steps = 21; Q(s,a) = 73.48983045729496; score = -520.0; mean_score/100_episodes = -511.27; reward = -520.0; mean_reward/100_episodes = -509.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 01:54:46
Episode no = 6900; won: False; iter_time_steps = 21; Q(s,a) = 51.06829314026793; score = -510.0; mean_score/100_episodes = -512.45; reward = -509.0; mean_reward/100_episodes = -511.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 01:54:57
Episode no = 7000; won: False; iter_time_steps = 21; Q(s,a) = 80.01893542050345; score = -510.0; mean_score/100_episodes = -501.89; reward = -509.0; mean_reward/100_episodes = -504.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-02 01:55:09
Episode no = 7100; won: False; iter_time_steps = 21; Q(s,a) = 47.71281615420475; score = -510.0; mean_score/100_episodes = -450.32; reward = -509.0; mean_reward/100_episodes = -474.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.06, 2024-12-02 01:55:21
Episode no = 7200; won: False; iter_time_steps = 21; Q(s,a) = 54.96684008667019; score = -520.0; mean_score/100_episodes = -420.61; reward = -520.0; mean_reward/100_episodes = -456.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.09, 2024-12-02 01:55:32
Episode no = 7300; won: False; iter_time_steps = 21; Q(s,a) = 59.84335893588627; score = -520.0; mean_score/100_episodes = -411.34; reward = -520.0; mean_reward/100_episodes = -452.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.1, 2024-12-02 01:55:44
Episode no = 7400; won: False; iter_time_steps = 21; Q(s,a) = 53.93484044939092; score = -520.0; mean_score/100_episodes = -391.41; reward = -520.0; mean_reward/100_episodes = -439.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.12, 2024-12-02 01:55:55
Episode no = 7500; won: True; iter_time_steps = 19; Q(s,a) = 45.877579456766; score = 502.0; mean_score/100_episodes = -319.29; reward = 93.0; mean_reward/100_episodes = -395.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.19, 2024-12-02 01:56:07
Episode no = 7600; won: False; iter_time_steps = 18; Q(s,a) = 61.42829822362908; score = -517.0; mean_score/100_episodes = -310.91; reward = -517.0; mean_reward/100_episodes = -391.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.2, 2024-12-02 01:56:18
Episode no = 7700; won: False; iter_time_steps = 21; Q(s,a) = 51.39228915276797; score = -510.0; mean_score/100_episodes = -351.01; reward = -509.0; mean_reward/100_episodes = -415.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.16, 2024-12-02 01:56:30
Episode no = 7800; won: True; iter_time_steps = 19; Q(s,a) = 53.60387248749958; score = 502.0; mean_score/100_episodes = -341.27; reward = 93.0; mean_reward/100_episodes = -410.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.17, 2024-12-02 01:56:41
