Episode no = 8600; won: False; iter_time_steps = 26; Q(s,a) = 181.26004449846172; score = -285.0; mean_score/100_episodes = -105.54; reward = -261.0; mean_reward/100_episodes = -98.89; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:25:09
Episode no = 8700; won: False; iter_time_steps = 65; Q(s,a) = 181.95558994014752; score = -4.0; mean_score/100_episodes = -7.85; reward = 52.0; mean_reward/100_episodes = -12.35; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:26:51
Episode no = 8800; won: False; iter_time_steps = 43; Q(s,a) = 183.09449838358046; score = -172.0; mean_score/100_episodes = -19.03; reward = -135.0; mean_reward/100_episodes = -17.71; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:28:29
Episode no = 8900; won: False; iter_time_steps = 30; Q(s,a) = 183.61445684821268; score = -279.0; mean_score/100_episodes = -91.58; reward = -254.0; mean_reward/100_episodes = -92.94; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:29:50
Episode no = 9000; won: False; iter_time_steps = 46; Q(s,a) = 185.27916562287243; score = -165.0; mean_score/100_episodes = -77.87; reward = -127.0; mean_reward/100_episodes = -74.59; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:31:08
Episode no = 9100; won: False; iter_time_steps = 20; Q(s,a) = 185.30437711810424; score = -389.0; mean_score/100_episodes = 51.84; reward = -376.0; mean_reward/100_episodes = 46.64; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:32:58
Episode no = 9200; won: False; iter_time_steps = 196; Q(s,a) = 185.9033423027267; score = 665.0; mean_score/100_episodes = -36.87; reward = 452.0; mean_reward/100_episodes = -38.8; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:34:35
Episode no = 9300; won: False; iter_time_steps = 44; Q(s,a) = 185.24156832551617; score = -153.0; mean_score/100_episodes = -43.11; reward = -114.0; mean_reward/100_episodes = -30.4; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:36:03
Episode no = 9400; won: False; iter_time_steps = 33; Q(s,a) = 184.87694871302037; score = -282.0; mean_score/100_episodes = -66.28; reward = -246.0; mean_reward/100_episodes = -68.75; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:37:19
Episode no = 9500; won: False; iter_time_steps = 31; Q(s,a) = 184.81272320176214; score = -270.0; mean_score/100_episodes = -77.79; reward = -244.0; mean_reward/100_episodes = -75.59; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:38:33
