Episode no = 7500; won: False; iter_time_steps = 13; Q(s,a) = -17.683394769139902; score = -512.0; mean_score/100_episodes = -510.8; reward = -512.0; mean_reward/100_episodes = -509.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:21:03
Episode no = 7600; won: False; iter_time_steps = 18; Q(s,a) = -17.27160684524351; score = -517.0; mean_score/100_episodes = -510.16; reward = -517.0; mean_reward/100_episodes = -509.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:21:13
Episode no = 7700; won: False; iter_time_steps = 11; Q(s,a) = -17.492526944120993; score = -510.0; mean_score/100_episodes = -507.96; reward = -510.0; mean_reward/100_episodes = -506.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:21:22
Episode no = 7800; won: False; iter_time_steps = 11; Q(s,a) = -17.728185950419793; score = -510.0; mean_score/100_episodes = -508.53; reward = -510.0; mean_reward/100_episodes = -507.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:21:30
Episode no = 7900; won: False; iter_time_steps = 5; Q(s,a) = -18.01076294382383; score = -504.0; mean_score/100_episodes = -510.18; reward = -504.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:21:40
Episode no = 8000; won: False; iter_time_steps = 74; Q(s,a) = -16.026344877734218; score = -563.0; mean_score/100_episodes = -509.78; reward = -562.0; mean_reward/100_episodes = -509.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:21:50
Episode no = 8100; won: False; iter_time_steps = 10; Q(s,a) = -17.710703453581953; score = -509.0; mean_score/100_episodes = -510.08; reward = -509.0; mean_reward/100_episodes = -509.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:21:59
Episode no = 8200; won: False; iter_time_steps = 15; Q(s,a) = -17.37074042589449; score = -504.0; mean_score/100_episodes = -509.4; reward = -503.0; mean_reward/100_episodes = -508.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:22:08
Episode no = 8300; won: False; iter_time_steps = 59; Q(s,a) = -16.454827244326857; score = -548.0; mean_score/100_episodes = -511.8; reward = -547.0; mean_reward/100_episodes = -511.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:22:19
Episode no = 8400; won: False; iter_time_steps = 9; Q(s,a) = -17.135048640072192; score = -508.0; mean_score/100_episodes = -516.21; reward = -508.0; mean_reward/100_episodes = -515.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:22:34
